Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
328548,Influenza - Avian,;H5N1 HPAI;,9.519423,-13.268752,Centre 2_Maferinyah_Forecariyah,Guinea,Africa,,2022-07-10T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
323994,Influenza - Avian,;H5N1 HPAI;,9.7043,-13.3986,Doneyah,Guinea,Africa,2022-05-10T00:00:00Z,2022-06-03T00:00:00Z,"Domestic,Chicken,",FAO ECTAD RAF,,,Confirmed
328567,Influenza - Avian,;H5N1 HPAI;,9.628057,-13.360712,Moribayah Centre 3_Forecaryah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328561,Influenza - Avian,;H5N1 HPAI;,9.643895,-13.429318,Kiriyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-20T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328540,Influenza - Avian,;H5N1 HPAI;,9.664666,-13.306599,Tambaya_Wonkifong_Coyah,Guinea,Africa,,2022-07-11T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328544,Influenza - Avian,;H5N1 HPAI;,9.63426,-13.250904,kiriyah_Wonkifong_Coyah,Guinea,Africa,,2022-07-08T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
216680,Influenza - Avian,;H5N1 HPAI;,3.444344,98.981,SUKA SARI,Indonesia,Asia,2016-06-03T00:00:00Z,2016-06-03T00:00:00Z,"Domestic,Chicken,",National authorities,,,Confirmed
216657,Influenza - Avian,;H5N1 HPAI;,2.065627,98.884,RURAJULU DOLOK,Indonesia,Asia,2016-04-19T00:00:00Z,2016-04-19T00:00:00Z,"Domestic,Duck,",National authorities,,,Confirmed
355933,Influenza - Avian,;H5N1 HPAI;,57.27134,23.12128,Engures parish,Latvia,Europe,2023-06-01T00:00:00Z,2023-06-16T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",WOAH (former OIE),,,Confirmed
356574,Influenza - Avian,;H5N1 HPAI;,57.033161,23.490336,LAPMEŽCIEMA PARISH,Latvia,Europe,2023-06-09T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Mew gull (Larus canus),",WOAH (former OIE),,,Confirmed
356562,Influenza - Avian,;H5N1 HPAI;,57.083526,23.267847,ENGURES PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",WOAH (former OIE),,,Confirmed
356569,Influenza - Avian,;H5N1 HPAI;,57.251459,23.174973,ENGURES PARISH,Latvia,Europe,2023-06-19T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Stork,",WOAH (former OIE),,,Confirmed
353568,Influenza - Avian,;H5N1 HPAI;,56.985521,23.543272,Lapmežciems,Latvia,Europe,2023-05-09T00:00:00Z,2023-05-17T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
289205,Influenza - Avian,;H5N8 HPAI;,57.0068,23.5153,Jurmala town,Latvia,Europe,2021-02-12T00:00:00Z,2021-02-15T00:00:00Z,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed
355932,Influenza - Avian,;H5N1 HPAI;,57.271899,23.122289,Engures parish,Latvia,Europe,2023-06-06T00:00:00Z,2023-06-16T00:00:00Z,"Wild,Common Tern (Sterna hirundo),",WOAH (former OIE),,,Confirmed
355353,Influenza - Avian,;H5N1 HPAI;,56.977063,23.557171,J rmala,Latvia,Europe,2023-05-28T00:00:00Z,2023-06-08T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
291965,Influenza - Avian,;H5N8 HPAI;,57.0117,23.5122,Lapmezciema parish,Latvia,Europe,2021-02-09T00:00:00Z,2021-03-24T00:00:00Z,"Wild,Swan,",WOAH (former OIE),,,Confirmed
289206,Influenza - Avian,;H5N8 HPAI;,56.9784,23.5548,Jurmala town,Latvia,Europe,2021-02-12T00:00:00Z,2021-02-15T00:00:00Z,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed
354251,Influenza - Avian,;H5N1 HPAI;,56.992225,23.527973,LAPMEŽCIEMS,Latvia,Europe,2023-05-19T00:00:00Z,2023-05-25T00:00:00Z,"Wild,Mew gull (Larus canus),",WOAH (former OIE),,,Confirmed
354246,Influenza - Avian,;H5N1 HPAI;,57.000985,23.519076,LAPMEŽCIEMS,Latvia,Europe,2023-05-18T00:00:00Z,2023-05-25T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
252225,Influenza - Avian,;H7N3 HPAI;,20.676714,-99.987875,Colon,Mexico,Americas,2019-04-08T00:00:00Z,2019-04-26T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
254083,Influenza - Avian,;H7N3 HPAI;,20.425778,-100.06,San Juan del Río,Mexico,Americas,2019-05-20T00:00:00Z,2019-06-04T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
257973,Influenza - Avian,;H7N3 HPAI;,20.74421,-100.03835,Colón,Mexico,Americas,2019-07-03T00:00:00Z,2019-07-26T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
236058,Influenza - Avian,;H7N3 HPAI;,20.499372,-100.148795,Pedro Escobedo,Mexico,Americas,2018-04-12T00:00:00Z,2018-04-20T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
253412,Influenza - Avian,;H7N3 HPAI;,20.5267,-100.08585,Pedro Escobedo,Mexico,Americas,2019-05-07T00:00:00Z,2019-05-17T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
